Biome;LL;LMA;Nmass;Pmass;Amass;Rmass
wland;;1,7;0,473;-0,811;;
wland;;1,65;0,381;-0,66;;
wland;;1,81;0,401;-0,734;;
wland;;1,84;0,432;-0,68;;
wland;;1,72;0,522;-0,614;;
wland;;1,43;0,584;-0,515;;
wland;;1,86;0,403;-0,736;;
wland;;2,07;0,378;-0,67;;
wland;;1,8;0,212;-0,738;;
wland;;1,95;0,504;-0,591;;
wland;;2,14;0,354;-0,791;;
wland;;1,88;0,339;-0,747;;
wland;;1,74;0,233;-1,009;;
wland;;2;0,186;-1,044;;
wland;;2,14;0,05;-1,015;;
wland;;1,8;0,379;-0,794;;
wland;;2,07;0,074;-0,951;;
wland;;2,03;0,26;-0,802;2,19;
wland;;2,23;0,156;-0,588;1,65;
wland;;2,81;-0,121;-0,958;0,68;
wland;;2,52;0,033;-0,969;1,51;
wland;;2,87;-0,048;-0,927;0,95;
wland;;2,5;-0,015;-1,013;1,36;
wland;;;0,374;-0,772;;
wland;1,26;2,24;-0,155;-1,464;1,68;
wland;1,26;2,01;0,1;-1,259;2,03;
wland;0,81;1,95;-0,009;-1,319;1,9;
wland;0,81;1,85;0,049;-1,177;1,96;
wland;0,81;1,93;0,1;-1,171;2,11;
alpine;0,36;1,65;0,665;;2,56;
alpine;;1,58;0,468;;;
alpine;;1,68;0,505;;;
alpine;;1,62;0,474;;;
alpine;;1,72;0,356;;;
alpine;;1,5;0,417;;;
alpine;0,25;1,69;0,606;;2,64;
alpine;0,41;1,68;0,519;;2,67;
alpine;;1,77;0,21;;;
alpine;;1,82;0,134;;;
alpine;0,32;1,85;0,393;;2,33;
alpine;0,48;1,85;0,413;;2,29;
alpine;;1,7;0,501;;;
alpine;0,42;1,8;0,373;;2,25;
alpine;0,4;1,9;0,559;;2,48;
alpine;;1,6;0,377;;;
alpine;0,28;1,83;0,474;;2,33;
alpine;0,2;1,41;0,658;;2,81;
alpine;0,3;1,72;0,449;;2,5;
alpine;;1,6;0,635;;;
alpine;0,13;1,85;0,593;;2,47;
alpine;;1,68;0,391;;;
alpine;0,38;1,78;0,516;;2,43;
alpine;;1,72;0,398;;;
alpine;0,4;1,86;0,428;;2,22;
alpine;0,49;1,79;0,529;;2,48;
alpine;;1,82;0,31;;;
alpine;;1,77;0,272;;;
alpine;0,34;1,56;0,468;;2,46;
alpine;;1,57;0,364;;;
alpine;;2;0,076;;;
alpine;0,14;1,72;0,504;;2,54;
alpine;;1,43;0,462;;;
alpine;;1,7;0,301;;;
alpine;0,41;1,51;;;;
alpine;;1,57;0,431;;;
alpine;0,3;1,58;0,544;;2,7;
alpine;;2;0,544;;;
alpine;0,34;1,72;0,453;;2,65;
alpine;;1,75;0,322;;;
alpine;0,46;1,72;0,386;;2,38;
alpine;;1,64;0,301;;;
alpine;;1,65;0,146;;;
alpine;;1,57;0,378;;;
alpine;0,27;1,72;0,49;;2,59;
alpine;;1,54;0,544;;;
alpine;;1,77;0,342;;;
alpine;0,49;1,62;0,391;;2,4;
alpine;;1,65;0,23;;;
alpine;0,26;1,8;0,374;;2,39;
alpine;;1,75;0,464;;;
alpine;;1,51;0,519;;;
alpine;;1,83;0,301;;;
alpine;0,34;1,54;0,556;;2,82;
alpine;0,3;1,53;0,653;;2,68;
alpine;;1,51;0,23;;;
alpine;;1,82;0,377;;;
alpine;;1,78;0,121;;;
alpine;;1,97;-0,032;;;
alpine;;1,72;0,508;;;
alpine;;1,77;0,364;;;
alpine;;1,52;0,602;;;
alpine;;1,6;0,537;;;
alpine;0,43;1,98;0,465;;;
alpine;;2,06;0,336;;;
alpine;;2,3;-0,174;;;
alpine;;1,94;0,217;;;
alpine;0,81;2,15;0,225;;;
alpine;0,59;2,19;0,352;;;
alpine;0,53;1,9;0,405;;;
alpine;;2,04;0,356;;;
alpine;0,98;2,23;0,201;;;
alpine;;1,94;0,225;;;
alpine;1,34;2,3;0,029;;;
alpine;0,54;1,92;0,592;;;
alpine;;1,77;0,19;;;
alpine;0,81;2,1;0,449;;;
alpine;;2,21;0,124;;;
alpine;0,54;1,84;0,519;;;
alpine;0,53;1,83;0,568;;;
alpine;1,01;2,09;0,26;;;
alpine;0,94;2,26;0,35;;;
alpine;;2,03;0,422;;;
alpine;;1,97;0,334;;;
